,Original,Porter,Lancaster,Snowball
1053,penciled,pencil,pencil,pencil
1054,reconciled,reconcil,reconcil,reconcil
1055,veiled,veil,veil,veil
1056,unveiled,unveil,unveil,unveil
1057,oiled,oil,oil,oil
1058,boiled,boil,boil,boil
1059,hardboiled,hardboil,hardboil,hardboil
1060,parboiled,parboil,parboil,parboil
1061,coiled,coil,coil,coil
1062,recoiled,recoil,recoil,recoil
1063,foiled,foil,foil,foil
1064,spoiled,spoil,spoil,spoil
1065,despoiled,despoil,despoil,despoil
1066,broiled,broil,broil,broil
1067,embroiled,embroil,embroil,embroil
1068,soiled,soil,soil,soil
1069,toiled,toil,toil,toil
1070,compiled,compil,compil,compil
1071,imperiled,imperil,imperil,imperil
1072,beguiled,beguil,beguil,beguil
1073,reviled,revil,revil,revil
1074,exiled,exil,exil,exil
1075,cackled,cackl,cackl,cackl
1076,shackled,shackl,shackl,shackl
1077,crackled,crackl,crackl,crackl
1078,speckled,speckl,speckl,speckl
1079,freckled,freckl,freckl,freckl
1080,pickled,pickl,pickl,pickl
1081,tickled,tickl,tickl,tickl
1082,buckled,buckl,buckl,buckl
1083,chuckled,chuckl,chuckl,chuckl
1084,knuckled,knuckl,knuckl,knuckl
1085,wrinkled,wrinkl,wrinkl,wrinkl
1086,unwrinkled,unwrinkl,unwrinkl,unwrinkl
1087,tinkled,tinkl,tinkl,tinkl
1088,sparkled,sparkl,sparkl,sparkl
1089,recalled,recal,recal,recal
1090,uncalled,uncal,uncal,uncal
1091,marshalled,marshal,marshal,marshal
1092,appalled,appal,appal,appal
1093,enthralled,enthral,enthral,enthral
1094,totalled,total,total,total
1095,installed,instal,instal,instal
1096,equalled,equal,equal,equal
1097,unequalled,unequal,unequal,unequal
1098,rivalled,rival,rival,rival
1099,labelled,label,label,label
1100,rebelled,rebel,rebel,rebel
1101,cancelled,cancel,cancel,cancel
1102,unshelled,unshel,unshel,unshel
1103,enamelled,enamel,enamel,enamel
1104,repelled,repel,repel,repel
1105,impelled,impel,impel,impel
1106,compelled,compel,compel,compel
1107,propelled,propel,propel,propel
1108,dispelled,dispel,dispel,dispel
1109,expelled,expel,expel,expel
1110,travelled,travel,travel,travel
1111,levelled,level,level,level
1112,marvelled,marvel,marvel,marvel
1113,jewelled,jewel,jewel,jewel
1114,refilled,refil,refil,refil
1115,fulfilled,fulfil,fulfil,fulfil
1116,unfulfilled,unfulfil,unfulfil,unfulfil
1117,unskilled,unskil,unskil,unskil
1118,imperilled,imperil,imperil,imperil
1119,distilled,distil,distil,distil
1120,enrolled,enrol,enrol,enrol
1121,unrolled,unrol,unrol,unrol
1122,patrolled,patrol,patrol,patrol
1123,controlled,control,control,control
1124,uncontrolled,uncontrol,uncontrol,uncontrol
1125,cooled,cool,cool,cool
1126,overcooled,overcool,overcool,overcool
1127,fooled,fool,fool,fool
1128,pooled,pool,pool,pool
1129,consoled,consol,consol,consol
1130,unstapled,unstapl,unstapl,unstapl
1131,tripled,tripl,tripl,tripl
1132,trampled,trampl,trampl,trampl
1133,sampled,sampl,sampl,sampl
1134,pimpled,pimpl,pimpl,pimpl
1135,rumpled,rumpl,rumpl,rumpl
1136,crumpled,crumpl,crumpl,crumpl
1137,peopled,peopl,peopl,peopl
1138,dappled,dappl,dappl,dappl
1139,grappled,grappl,grappl,grappl
1140,rippled,rippl,rippl,rippl
1141,crippled,crippl,crippl,crippl
1142,hoppled,hoppl,hoppl,hoppl
1143,toppled,toppl,toppl,toppl
1144,coupled,coupl,coupl,coupl
1145,quadrupled,quadrupl,quadrupl,quadrupl
1146,gnarled,gnarl,gnarl,gnarl
1147,snarled,snarl,snarl,snarl
1148,whirled,whirl,whirl,whirl
1149,swirled,swirl,swirl,swirl
1150,twirled,twirl,twirl,twirl
1151,curled,curl,curl,curl
1152,uncurled,uncurl,uncurl,uncurl
1153,furled,furl,furl,furl
1154,unfurled,unfurl,unfurl,unfurl
1155,hurled,hurl,hurl,hurl
1156,purled,purl,purl,purl
1157,misled,misl,misl,misl
1158,tousled,tousl,tousl,tousl
1159,titled,titl,titl,titl
1160,subtitled,subtitl,subtitl,subtitl
1161,entitled,entitl,entitl,entitl
1162,disgruntled,disgruntl,disgruntl,disgruntl
1163,tootled,tootl,tootl,tootl
1164,startled,startl,startl,startl
