,Original,Porter,Lancaster,Snowball
2275,haunted,haunt,haunt,haunt
2276,flaunted,flaunt,flaunt,flaunt
2277,taunted,taunt,taunt,taunt
2278,hunted,hunt,hunt,hunt
2279,shunted,shunt,shunt,shunt
2280,blunted,blunt,blunt,blunt
2281,counted,count,count,count
2282,accounted,account,account,account
2283,recounted,recount,recount,recount
2284,uncounted,uncount,uncount,uncount
2285,discounted,discount,discount,discount
2286,mounted,mount,mount,mount
2287,amounted,amount,amount,amount
2288,surmounted,surmount,surmount,surmount
2289,dismounted,dismount,dismount,dismount
2290,punted,punt,punt,punt
2291,grunted,grunt,grunt,grunt
2292,wainscoted,wainscot,wainscot,wainscot
2293,bigoted,bigot,bigot,bigot
2294,rioted,riot,riot,riot
2295,alloted,allot,allot,allot
2296,demoted,demot,demot,demot
2297,promoted,promot,promot,promot
2298,denoted,denot,denot,denot
2299,booted,boot,boot,boot
2300,jackbooted,jackboot,jackboot,jackboot
2301,scooted,scoot,scoot,scoot
2302,footed,foot,foot,foot
2303,barefooted,barefoot,barefoot,barefoot
2304,hooted,hoot,hoot,hoot
2305,looted,loot,loot,loot
2306,rooted,root,root,root
2307,uprooted,uproot,uproot,uproot
2308,quoted,quot,quot,quot
2309,misquoted,misquot,misquot,misquot
2310,devoted,devot,devot,devot
2311,adapted,adapt,adapt,adapt
2312,sculpted,sculpt,sculpt,sculpt
2313,tempted,tempt,tempt,tempt
2314,attempted,attempt,attempt,attempt
2315,prompted,prompt,prompt,prompt
2316,opted,opt,opt,opt
2317,adopted,adopt,adopt,adopt
2318,erupted,erupt,erupt,erupt
2319,interrupted,interrupt,interrupt,interrupt
2320,uninterrupted,uninterrupt,uninterrupt,uninterrupt
2321,corrupted,corrupt,corrupt,corrupt
2322,disrupted,disrupt,disrupt,disrupt
2323,undisrupted,undisrupt,undisrupt,undisrupt
2324,carted,cart,cart,cart
2325,darted,dart,dart,dart
2326,hearted,heart,heart,heart
2327,halfhearted,halfheart,halfheart,halfheart
2328,warmhearted,warmheart,warmheart,warmheart
2329,lighthearted,lightheart,lightheart,lightheart
2330,charted,chart,chart,chart
2331,uncharted,unchart,unchart,unchart
2332,smarted,smart,smart,smart
2333,outsmarted,outsmart,outsmart,outsmart
2334,parted,part,part,part
2335,departed,depart,depart,depart
2336,imparted,impart,impart,impart
2337,started,start,start,start
2338,concerted,concert,concert,concert
2339,alerted,alert,alert,alert
2340,deserted,desert,desert,desert
2341,inserted,insert,insert,insert
2342,asserted,assert,assert,assert
2343,averted,avert,avert,avert
2344,subverted,subvert,subvert,subvert
2345,reverted,revert,revert,revert
2346,diverted,divert,divert,divert
2347,inverted,invert,invert,invert
2348,converted,convert,convert,convert
2349,introverted,introvert,introvert,introvert
2350,perverted,pervert,pervert,pervert
2351,exerted,exert,exert,exert
2352,shirted,shirt,shirt,shirt
2353,skirted,skirt,skirt,skirt
2354,flirted,flirt,flirt,flirt
2355,squirted,squirt,squirt,squirt
2356,escorted,escort,escort,escort
2357,comforted,comfort,comfort,comfort
2358,uncomforted,uncomfort,uncomfort,uncomfort
2359,snorted,snort,snort,snort
2360,reported,report,report,report
2361,imported,import,import,import
2362,comported,comport,comport,comport
2363,supported,support,support,support
2364,unsupported,unsupport,unsupport,unsupport
2365,purported,purport,purport,purport
2366,transported,transport,transport,transport
2367,exported,export,export,export
2368,sorted,sort,sort,sort
2369,resorted,resort,resort,resort
2370,consorted,consort,consort,consort
2371,assorted,assort,assort,assort
2372,retorted,retort,retort,retort
2373,contorted,contort,contort,contort
2374,distorted,distort,distort,distort
2375,cavorted,cavort,cavort,cavort
2376,blurted,blurt,blurt,blurt
2377,courted,court,court,court
2378,breasted,breast,breast,breast
2379,breakfasted,breakfast,breakfast,breakfast
2380,lasted,last,last,last
2381,blasted,blast,blast,blast
2382,masted,mast,mast,mast
2383,boasted,boast,boast,boast
2384,coasted,coast,coast,coast
2385,roasted,roast,roast,roast
2386,toasted,toast,toast,toast
2387,pasted,past,past,past
2388,contrasted,contrast,contrast,contrast
2389,tasted,tast,tast,tast
2390,wasted,wast,wast,wast
2391,bested,best,best,best
2392,manifested,manifest,manifest,manifest
2393,infested,infest,infest,infest
2394,suggested,suggest,suggest,suggest
2395,digested,digest,digest,digest
2396,predigested,predigest,predigest,predigest
2397,undigested,undigest,undigest,undigest
2398,ingested,ingest,ingest,ingest
2399,congested,congest,congest,congest
2400,chested,chest,chest,chest
2401,unmolested,unmolest,unmolest,unmolest
2402,nested,nest,nest,nest
2403,rested,rest,rest,rest
2404,crested,crest,crest,crest
2405,interested,interest,interest,interest
2406,uninterested,uninterest,uninterest,uninterest
2407,disinterested,disinterest,disinterest,disinterest
2408,arrested,arrest,arrest,arrest
2409,tested,test,test,test
2410,detested,detest,detest,detest
2411,contested,contest,contest,contest
2412,protested,protest,protest,protest
2413,attested,attest,attest,attest
2414,requested,request,request,request
2415,vested,vest,vest,vest
2416,invested,invest,invest,invest
2417,harvested,harvest,harvest,harvest
2418,waisted,waist,waist,waist
2419,heisted,heist,heist,heist
2420,fisted,fist,fist,fist
2421,listed,list,list,list
2422,misted,mist,mist,mist
2423,foisted,foist,foist,foist
2424,hoisted,hoist,hoist,hoist
2425,resisted,resist,resist,resist
2426,insisted,insist,insist,insist
2427,consisted,consist,consist,consist
2428,persisted,persist,persist,persist
2429,assisted,assist,assist,assist
2430,unassisted,unassist,unassist,unassist
2431,twisted,twist,twist,twist
2432,accosted,accost,accost,accost
2433,ghosted,ghost,ghost,ghost
2434,boosted,boost,boost,boost
2435,posted,post,post,post
2436,frosted,frost,frost,frost
2437,unfrosted,unfrost,unfrost,unfrost
2438,oersted,oerst,oerst,oerst
2439,thirsted,thirst,thirst,thirst
2440,worsted,worst,worst,worst
2441,exhausted,exhaust,exhaust,exhaust
2442,busted,bust,bust,bust
2443,dusted,dust,dust,dust
2444,disgusted,disgust,disgust,disgust
2445,adjusted,adjust,adjust,adjust
2446,readjusted,readjust,readjust,readjust
2447,maladjusted,maladjust,maladjust,maladjust
2448,unadjusted,unadjust,unadjust,unadjust
2449,ousted,oust,oust,oust
2450,rusted,rust,rust,rust
2451,crusted,crust,crust,crust
2452,encrusted,encrust,encrust,encrust
2453,trusted,trust,trust,trust
2454,entrusted,entrust,entrust,entrust
2455,distrusted,distrust,distrust,distrust
2456,mistrusted,mistrust,mistrust,mistrust
2457,batted,bat,bat,bat
2458,combatted,combat,combat,combat
2459,hatted,hat,hat,hat
2460,chatted,chat,chat,chat
2461,platted,plat,plat,plat
2462,slatted,slat,slat,slat
2463,patted,pat,pat,pat
2464,squatted,squat,squat,squat
2465,abetted,abet,abet,abet
2466,whetted,whet,whet,whet
2467,netted,net,net,net
2468,petted,pet,pet,pet
2469,fretted,fret,fret,fret
2470,regretted,regret,regret,regret
2471,silhouetted,silhouet,silhouet,silhouet
2472,fitted,fit,fit,fit
2473,outfitted,outfit,outfit,outfit
2474,submitted,submit,submit,submit
2475,admitted,admit,admit,admit
2476,emitted,emit,emit,emit
2477,remitted,remit,remit,remit
2478,committed,commit,commit,commit
2479,uncommitted,uncommit,uncommit,uncommit
2480,omitted,omit,omit,omit
2481,permitted,permit,permit,permit
2482,transmitted,transmit,transmit,transmit
2483,manumitted,manumit,manumit,manumit
2484,knitted,knit,knit,knit
2485,acquitted,acquit,acquit,acquit
2486,witted,wit,wit,wit
2487,boycotted,boycot,boycot,boycot
2488,dotted,dot,dot,dot
2489,jotted,jot,jot,jot
2490,blotted,blot,blot,blot
2491,clotted,clot,clot,clot
2492,allotted,allot,allot,allot
2493,plotted,plot,plot,plot
2494,slotted,slot,slot,slot
2495,knotted,knot,knot,knot
2496,potted,pot,pot,pot
2497,spotted,spot,spot,spot
2498,trotted,trot,trot,trot
2499,totted,tot,tot,tot
2500,butted,but,but,but
2501,rebutted,rebut,rebut,rebut
2502,gutted,gut,gut,gut
2503,glutted,glut,glut,glut
2504,putted,put,put,put
2505,rutted,rut,rut,rut
2506,contributed,contribut,contribut,contribut
2507,distributed,distribut,distribut,distribut
2508,redistributed,redistribut,redistribut,redistribut
2509,attributed,attribut,attribut,attribut
2510,prosecuted,prosecut,prosecut,prosecut
2511,persecuted,persecut,persecut,persecut
2512,executed,execut,execut,execut
2513,refuted,refut,refut,refut
2514,confuted,confut,confut,confut
2515,saluted,salut,salut,salut
2516,eluted,elut,elut,elut
2517,diluted,dilut,dilut,dilut
2518,undiluted,undilut,undilut,undilut
2519,polluted,pollut,pollut,pollut
2520,commuted,commut,commut,commut
2521,transmuted,transmut,transmut,transmut
2522,scouted,scout,scout,scout
2523,shouted,shout,shout,shout
2524,flouted,flout,flout,flout
2525,pouted,pout,pout,pout
2526,spouted,spout,spout,spout
2527,routed,rout,rout,rout
2528,reputed,reput,reput,reput
2529,imputed,imput,imput,imput
2530,computed,comput,comput,comput
2531,disputed,disput,disput,disput
2532,undisputed,undisput,undisput,undisput
2533,substituted,substitut,substitut,substitut
2534,instituted,institut,institut,institut
2535,constituted,constitut,constitut,constitut
2536,imbued,imbu,imbu,imbu
2537,barbecued,barbecu,barbecu,barbecu
2538,rescued,rescu,rescu,rescu
2539,subdued,subdu,subdu,subdu
2540,queued,queu,queu,queu
2541,leagued,leagu,leagu,leagu
2542,plagued,plagu,plagu,plagu
2543,unplagued,unplagu,unplagu,unplagu
2544,intrigued,intrigu,intrigu,intrigu
2545,fatigued,fatigu,fatigu,fatigu
2546,harangued,harangu,harangu,harangu
2547,tongued,tongu,tongu,tongu
2548,argued,argu,argu,argu
2549,valued,valu,valu,valu
2550,glued,glu,glu,glu
2551,unglued,unglu,unglu,unglu
2552,continued,continu,continu,continu
2553,discontinued,discontinu,discontinu,discontinu
2554,accrued,accru,accru,accru
2555,construed,constru,constru,constru
2556,misconstrued,misconstru,misconstru,misconstru
2557,ensued,ensu,ensu,ensu
2558,pursued,pursu,pursu,pursu
2559,issued,issu,issu,issu
2560,heaved,heav,heav,heav
2561,cleaved,cleav,cleav,cleav
2562,behaved,behav,behav,behav
2563,unshaved,unshav,unshav,unshav
2564,enslaved,enslav,enslav,enslav
2565,unpaved,unpav,unpav,unpav
2566,engraved,engrav,engrav,engrav
2567,depraved,deprav,deprav,deprav
2568,sleeved,sleev,sleev,sleev
2569,achieved,achiev,achiev,achiev
2570,unachieved,unachiev,unachiev,unachiev
2571,believed,believ,believ,believ
2572,disbelieved,disbeliev,disbeliev,disbeliev
2573,relieved,reliev,reliev,reliev
2574,unrelieved,unreliev,unreliev,unreliev
2575,aggrieved,aggriev,aggriev,aggriev
2576,retrieved,retriev,retriev,retriev
2577,waived,waiv,waiv,waiv
2578,deceived,deceiv,deceiv,deceiv
2579,received,receiv,receiv,receiv
2580,conceived,conceiv,conceiv,conceiv
2581,preconceived,preconceiv,preconceiv,preconceiv
2582,perceived,perceiv,perceiv,perceiv
2583,unperceived,unperceiv,unperceiv,unperceiv
2584,shelved,shelv,shelv,shelv
2585,solved,solv,solv,solv
2586,resolved,resolv,resolv,resolv
2587,unresolved,unresolv,unresolv,unresolv
2588,unsolved,unsolv,unsolv,unsolv
2589,dissolved,dissolv,dissolv,dissolv
2590,evolved,evolv,evolv,evolv
2591,revolved,revolv,revolv,revolv
2592,involved,involv,involv,involv
2593,uninvolved,uninvolv,uninvolv,uninvolv
2594,beloved,belov,belov,belov
2595,removed,remov,remov,remov
2596,unmoved,unmov,unmov,unmov
2597,grooved,groov,groov,groov
2598,improved,improv,improv,improv
2599,unimproved,unimprov,unimprov,unimprov
2600,unproved,unprov,unprov,unprov
2601,approved,approv,approv,approv
2602,disapproved,disapprov,disapprov,disapprov
2603,carved,carv,carv,carv
2604,starved,starv,starv,starv
2605,nerved,nerv,nerv,nerv
2606,served,serv,serv,serv
2607,observed,observ,observ,observ
2608,deserved,deserv,deserv,deserv
2609,undeserved,undeserv,undeserv,undeserv
2610,reserved,reserv,reserv,reserv
2611,preserved,preserv,preserv,preserv
2612,swerved,swerv,swerv,swerv
2613,curved,curv,curv,curv
2614,thawed,thaw,thaw,thaw
2615,clawed,claw,claw,claw
2616,outlawed,outlaw,outlaw,outlaw
2617,gnawed,gnaw,gnaw,gnaw
2618,sawed,saw,saw,saw
2619,whipsawed,whipsaw,whipsaw,whipsaw
2620,hewed,hew,hew,hew
2621,chewed,chew,chew,chew
2622,eschewed,eschew,eschew,eschew
2623,viewed,view,view,view
2624,reviewed,review,review,review
2625,interviewed,interview,interview,interview
2626,mewed,mew,mew,mew
2627,renewed,renew,renew,renew
2628,brewed,brew,brew,brew
2629,unscrewed,unscrew,unscrew,unscrew
2630,sewed,sew,sew,sew
2631,stewed,stew,stew,stew
2632,unwed,unw,unw,unw
2633,bowed,bow,bow,bow
2634,shadowed,shadow,shadow,shadow
2635,overshadowed,overshadow,overshadow,overshadow
2636,widowed,widow,widow,widow
2637,endowed,endow,endow,endow
2638,showed,show,show,show
2639,flowed,flow,flow,flow
2640,overflowed,overflow,overflow,overflow
2641,glowed,glow,glow,glow
2642,allowed,allow,allow,allow
2643,hallowed,hallow,hallow,hallow
2644,disallowed,disallow,disallow,disallow
2645,wallowed,wallow,wallow,wallow
2646,swallowed,swallow,swallow,swallow
2647,bellowed,bellow,bellow,bellow
2648,mellowed,mellow,mellow,mellow
2649,yellowed,yellow,yellow,yellow
2650,billowed,billow,billow,billow
2651,followed,follow,follow,follow
2652,plowed,plow,plow,plow
2653,unplowed,unplow,unplow,unplow
2654,slowed,slow,slow,slow
2655,mowed,mow,mow,mow
2656,knowed,know,know,know
2657,snowed,snow,snow,snow
2658,rowed,row,row,row
2659,crowed,crow,crow,crow
2660,arrowed,arrow,arrow,arrow
2661,harrowed,harrow,harrow,harrow
2662,narrowed,narrow,narrow,narrow
2663,borrowed,borrow,borrow,borrow
2664,burrowed,burrow,burrow,burrow
2665,furrowed,furrow,furrow,furrow
2666,towed,tow,tow,tow
2667,stowed,stow,stow,stow
2668,bestowed,bestow,bestow,bestow
2669,vowed,vow,vow,vow
2670,avowed,avow,avow,avow
2671,newlywed,newlyw,newlyw,newlyw
2672,relaxed,relax,relax,relax
2673,climaxed,climax,climax,climax
2674,coaxed,coax,coax,coax
2675,taxed,tax,tax,tax
2676,overtaxed,overtax,overtax,overtax
2677,waxed,wax,wax,wax
2678,flexed,flex,flex,flex
2679,perplexed,perplex,perplex,perplex
2680,vexed,vex,vex,vex
2681,fixed,fix,fix,fix
2682,affixed,affix,affix,affix
2683,unfixed,unfix,unfix,unfix
2684,mixed,mix,mix,mix
2685,admixed,admix,admix,admix
2686,unmixed,unmix,unmix,unmix
2687,boxed,box,box,box
2688,bayed,bay,bay,bay
2689,decayed,decay,decay,decay
2690,sashayed,sashay,sashay,sashay
2691,delayed,delay,delay,delay
2692,relayed,relay,relay,relay
2693,played,play,play,play
2694,roleplayed,roleplay,roleplay,roleplay
2695,underplayed,underplay,underplay,underplay
2696,overplayed,overplay,overplay,overplay
2697,displayed,display,display,display
2698,outplayed,outplay,outplay,outplay
2699,parlayed,parlay,parlay,parlay
2700,dismayed,dismay,dismay,dismay
2701,undismayed,undismay,undismay,undismay
2702,frayed,fray,fray,fray
2703,grayed,gray,gray,gray
2704,prayed,pray,pray,pray
2705,unsprayed,unspray,unspray,unspray
2706,arrayed,array,array,array
2707,betrayed,betray,betray,betray
2708,portrayed,portray,portray,portray
2709,sayed,say,say,say
2710,assayed,assay,assay,assay
2711,essayed,essay,essay,essay
2712,stayed,stay,stay,stay
2713,swayed,sway,sway,sway
2714,obeyed,obey,obey,obey
2715,disobeyed,disobey,disobey,disobey
2716,bogeyed,bogey,bogey,bogey
2717,bugeyed,bugey,bugey,bugey
2718,keyed,key,key,key
2719,cockeyed,cockey,cockey,cockey
2720,hackneyed,hackney,hackney,hackney
2721,moneyed,money,money,money
2722,journeyed,journey,journey,journey
2723,curtseyed,curtsey,curtsey,curtsey
2724,conveyed,convey,convey,convey
2725,surveyed,survey,survey,survey
2726,enjoyed,enjoy,enjoy,enjoy
2727,unalloyed,unalloy,unalloy,unalloy
2728,deployed,deploy,deploy,deploy
2729,employed,employ,employ,employ
2730,unemployed,unemploy,unemploy,unemploy
2731,annoyed,annoy,annoy,annoy
2732,destroyed,destroy,destroy,destroy
2733,buoyed,buoy,buoy,buoy
2734,unglazed,unglaz,unglaz,unglaz
2735,amazed,amaz,amaz,amaz
2736,wheezed,wheez,wheez,wheez
2737,sneezed,sneez,sneez,sneez
2738,squeezed,squeez,squeez,squeez
2739,tweezed,tweez,tweez,tweez
2740,ostracized,ostrac,ostrac,ostrac
2741,subsidized,subsid,subsid,subsid
2742,standardized,standard,standard,standard
2743,seized,seiz,seiz,seiz
2744,demythologized,demytholog,demytholog,demytholog
2745,apologized,apolog,apolog,apolog
2746,eulogized,eulog,eulog,eulog
2747,energized,energ,energ,energ
2748,philosophized,philosoph,philosoph,philosoph
2749,sympathized,sympath,sympath,sympath
2750,personalized,person,person,person
2751,depersonalized,deperson,deperson,deperson
2752,impersonalized,imperson,imperson,imperson
2753,internalized,intern,intern,intern
2754,hospitalized,hospit,hospit,hospit
2755,immortalized,immort,immort,immort
2756,panelized,panel,panel,panel
2757,novelized,novel,novel,novel
2758,lyophilized,lyophil,lyophil,lyophil
2759,sterilized,steril,steril,steril
2760,radiosterilized,radiosteril,radiosteril,radiosteril
2761,fossilized,fossil,fossil,fossil
2762,fertilized,fertil,fertil,fertil
2763,unfertilized,unfertil,unfertil,unfertil
2764,utilized,util,util,util
2765,civilized,civil,civil,civil
2766,crystallized,crystal,crystal,crystal
2767,metabolized,metabol,metabol,metabol
2768,symbolized,symbol,symbol,symbol
2769,idolized,idol,idol,idol
2770,glycerolized,glycerol,glycerol,glycerol
2771,deglycerolized,deglycerol,deglycerol,deglycerol
2772,aerosolized,aerosol,aerosol,aerosol
2773,itemized,item,item,item
2774,animized,anim,anim,anim
2775,minimized,minim,minim,minim
2776,victimized,victim,victim,victim
2777,legitimized,legitim,legitim,legitim
2778,maximized,maxim,maxim,maxim
2779,epitomized,epitom,epitom,epitom
2780,recognized,recogn,recogn,recogn
2781,unrecognized,unrecogn,unrecogn,unrecogn
2782,agonized,agon,agon,agon
2783,colonized,colon,colon,colon
2784,canonized,canon,canon,canon
2785,synchronized,synchron,synchron,synchron
2786,patronized,patron,patron,patron
2787,modernized,modern,modern,modern
2788,fraternized,fratern,fratern,fratern
2789,emphasized,emphas,emphas,emphas
2790,overemphasized,overemphas,overemphas,overemphas
2791,synthesized,synthes,synthes,synthes
2792,biosynthesized,biosynthes,biosynthes,biosynthes
2793,hypothesized,hypothes,hypothes,hypothes
2794,undersized,unders,unders,unders
2795,oversized,overs,overs,overs
2796,alphabetized,alphabet,alphabet,alphabet
2797,anesthetized,anesthet,anesthet,anesthet
2798,palletized,pallet,pallet,pallet
2799,arithmetized,arithmet,arithmet,arithmet
2800,magnetized,magnet,magnet,magnet
2801,unitized,unit,unit,unit
2802,sensitized,sensit,sensit,sensit
2803,desensitized,desensit,desensit,desensit
2804,hypnotized,hypnot,hypnot,hypnot
2805,deputized,deput,deput,deput
2806,bronzed,bronz,bronz,bronz
2807,oozed,ooz,ooz,ooz
2808,whizzed,whizz,whizz,whizz
2809,buzzed,buzz,buzz,buzz
2810,fuzzed,fuzz,fuzz,fuzz
2811,reipublicae,reipublica,reipublica,reipublica
2812,vulturidae,vulturida,vulturida,vulturida
2813,algae,alga,alga,alga
2814,curiae,curia,curia,curia
2815,minutiae,minutia,minutia,minutia
2816,myofibrillae,myofibrilla,myofibrilla,myofibrilla
2817,formulae,formula,formula,formula
2818,thermopylae,thermopyla,thermopyla,thermopyla
2819,ellamae,ellama,ellama,ellama
2820,fudomae,fudoma,fudoma,fudoma
2821,mycenae,mycena,mycena,mycena
2822,alumnae,alumna,alumna,alumna
2823,antennae,antenna,antenna,antenna
2824,personae,persona,persona,persona
2825,vertebrae,vertebra,vertebra,vertebra
2826,leprae,lepra,lepra,lepra
2827,larvae,larva,larva,larva
2828,orzae,orza,orza,orza
2829,yamabe,yamab,yamab,yamab
2830,wouldbe,wouldb,wouldb,wouldb
2831,beebe,beeb,beeb,beeb
2832,imbibe,imbib,imbib,imbib
2833,ascribe,ascrib,ascrib,ascrib
2834,subscribe,subscrib,subscrib,subscrib
2835,describe,describ,describ,describ
2836,prescribe,prescrib,prescrib,prescrib
2837,transcribe,transcrib,transcrib,transcrib
2838,proscribe,proscrib,proscrib,proscrib
2839,combe,comb,comb,comb
2840,wycombe,wycomb,wycomb,wycomb
2841,adobe,adob,adob,adob
2842,flumenophobe,flumenophob,flumenophob,flumenophob
2843,niobe,niob,niob,niob
2844,wardrobe,wardrob,wardrob,wardrob
2845,bathrobe,bathrob,bathrob,bathrob
2846,disrobe,disrob,disrob,disrob
2847,danube,danub,danub,danub
2848,canteloube,canteloub,canteloub,canteloub
2849,maybe,mayb,mayb,mayb
2850,peace,peac,peac,peac
2851,makepeace,makepeac,makepeac,makepeac
2852,preface,prefac,prefac,prefac
2853,whiteface,whitefac,whitefac,whitefac
2854,boniface,bonifac,bonifac,bonifac
2855,scarface,scarfac,scarfac,scarfac
2856,interface,interfac,interfac,interfac
2857,surface,surfac,surfac,surfac
2858,subsurface,subsurfac,subsurfac,subsurfac
2859,outface,outfac,outfac,outfac
2860,diapiace,diapiac,diapiac,diapiac
2861,palace,palac,palac,palac
2862,shoelace,shoelac,shoelac,shoelac
2863,lovelace,lovelac,lovelac,lovelac
2864,necklace,necklac,necklac,necklac
2865,wallace,wallac,wallac,wallac
2866,solace,solac,solac,solac
2867,laplace,laplac,laplac,laplac
2868,someplace,someplac,someplac,someplac
2869,replace,replac,replac,replac
2870,fireplace,fireplac,fireplac,fireplac
2871,birthplace,birthplac,birthplac,birthplac
2872,commonplace,commonplac,commonplac,commonplac
2873,displace,displac,displac,displac
2874,marketplace,marketplac,marketplac,marketplac
2875,anyplace,anyplac,anyplac,anyplac
2876,populace,populac,populac,populac
2877,grimace,grimac,grimac,grimac
2878,reconnaissanace,reconnaissanac,reconnaissanac,reconnaissanac
2879,menace,menac,menac,menac
2880,furnace,furnac,furnac,furnac
2881,subspace,subspac,subspac,subspac
2882,crawlspace,crawlspac,crawlspac,crawlspac
2883,aerospace,aerospac,aerospac,aerospac
2884,summerspace,summerspac,summerspac,summerspac
2885,embrace,embrac,embrac,embrac
2886,liberace,liberac,liberac,liberac
2887,disgrace,disgrac,disgrac,disgrac
2888,horace,horac,horac,horac
2889,terrace,terrac,terrac,terrac
2890,retrace,retrac,retrac,retrac
2891,greece,greec,greec,greec
2892,treece,treec,treec,treec
2893,niece,niec,niec,niec
2894,berniece,berniec,berniec,berniec
2895,piece,piec,piec,piec
2896,apiece,apiec,apiec,apiec
2897,mantlepiece,mantlepiec,mantlepiec,mantlepiec
2898,timepiece,timepiec,timepiec,timepiec
2899,eyepiece,eyepiec,eyepiec,eyepiec
2900,mouthpiece,mouthpiec,mouthpiec,mouthpiec
2901,workpiece,workpiec,workpiec,workpiec
2902,masterpiece,masterpiec,masterpiec,masterpiec
2903,showpiece,showpiec,showpiec,showpiec
2904,dolmabahce,dolmabahc,dolmabahc,dolmabahc
2905,nahce,nahc,nahc,nahc
2906,voice,voic,voic,voic
2907,juice,juic,juic,juic
2908,dolce,dolc,dolc,dolc
2909,disturbance,disturb,disturb,disturb
2910,avoidance,avoid,avoid,avoid
2911,lindependance,lindepend,lindepend,lindepend
2912,attendance,attend,attend,attend
2913,abundance,abund,abund,abund
2914,accordance,accord,accord,accord
2915,concordance,concord,concord,concord
2916,elegance,eleg,eleg,eleg
2917,arrogance,arrog,arrog,arrog
2918,resemblance,resembl,resembl,resembl
2919,vigilance,vigil,vigil,vigil
2920,surveillance,surveil,surveil,surveil
2921,conformance,conform,conform,conform
2922,performance,perform,perform,perform
2923,repugnance,repugn,repugn,repugn
2924,ordinance,ordin,ordin,ordin
2925,refinance,refin,refin,refin
2926,dominance,domin,domin,domin
2927,predominance,predomin,predomin,predomin
2928,resonance,reson,reson,reson
2929,consonance,conson,conson,conson
2930,assonance,asson,asson,asson
2931,appearance,appear,appear,appear
2932,reappearance,reappear,reappear,reappear
2933,disappearance,disappear,disappear,disappear
2934,remembrance,remembr,remembr,remembr
2935,renaissance,renaiss,renaiss,renaiss
2936,reconnaissance,reconnaiss,reconnaiss,reconnaiss
2937,reflectance,reflect,reflect,reflect
2938,reluctance,reluct,reluct,reluct
2939,capacitance,capacit,capacit,capacit
2940,inheritance,inherit,inherit,inherit
2941,hesitance,hesit,hesit,hesit
2942,acquaintance,acquaint,acquaint,acquaint
2943,importance,import,import,import
2944,resistance,resist,resist,resist
2945,assistance,assist,assist,assist
2946,lassistance,lassist,lassist,lassist
2947,circumstance,circumst,circumst,circumst
2948,happenstance,happenst,happenst,happenst
2949,continuance,continu,continu,continu
2950,discontinuance,discontinu,discontinu,discontinu
2951,relevance,relev,relev,relev
2952,observance,observ,observ,observ
2953,allowance,allow,allow,allow
2954,abeyance,abey,abey,abey
2955,conveyance,convey,convey,convey
2956,annoyance,annoy,annoy,annoy
2957,clairvoyance,clairvoy,clairvoy,clairvoy
2958,innocence,innoc,innoc,innoc
2959,acquiescence,acquiesc,acquiesc,acquiesc
2960,coalescence,coalesc,coalesc,coalesc
2961,convalescence,convalesc,convalesc,convalesc
2962,adolescence,adolesc,adolesc,adolesc
2963,luminescence,luminesc,luminesc,luminesc
2964,photoluminescence,photoluminesc,photoluminesc,photoluminesc
2965,fluorescence,fluoresc,fluoresc,fluoresc
2966,autofluorescence,autofluoresc,autofluoresc,autofluoresc
2967,reminiscence,reminisc,reminisc,reminisc
2968,translucence,transluc,transluc,transluc
2969,decadence,decad,decad,decad
2970,incidence,incid,incid,incid
2971,coincidence,coincid,coincid,coincid
2972,diffidence,diffid,diffid,diffid
2973,confidence,confid,confid,confid
2974,residence,resid,resid,resid
2975,evidence,evid,evid,evid
2976,providence,provid,provid,provid
2977,transcendence,transcend,transcend,transcend
2978,dependence,depend,depend,depend
2979,independence,independ,independ,independ
2980,interdependence,interdepend,interdepend,interdepend
2981,correspondence,correspond,correspond,correspond
2982,impudence,impud,impud,impud
2983,jurisprudence,jurisprud,jurisprud,jurisprud
2984,negligence,neglig,neglig,neglig
2985,diligence,dilig,dilig,dilig
2986,intelligence,intellig,intellig,intellig
2987,intransigence,intransig,intransig,intransig
2988,indulgence,indulg,indulg,indulg
2989,emergence,emerg,emerg,emerg
2990,divergence,diverg,diverg,diverg
2991,resurgence,resurg,resurg,resurg
2992,insurgence,insurg,insurg,insurg
2993,excellence,excel,excel,excel
2994,indolence,indol,indol,indol
2995,somnolence,somnol,somnol,somnol
2996,insolence,insol,insol,insol
2997,malevolence,malevol,malevol,malevol
2998,benevolence,benevol,benevol,benevol
2999,eminence,emin,emin,emin
3000,imminence,immin,immin,immin
3001,prominence,promin,promin,promin
3002,continence,contin,contin,contin
3003,pertinence,pertin,pertin,pertin
3004,abstinence,abstin,abstin,abstin
3005,recompence,recomp,recomp,recomp
3006,competence,compet,compet,compet
3007,incompetence,incompet,incompet,incompet
3008,omnipotence,omnipot,omnipot,omnipot
3009,impotence,impot,impot,impot
3010,inadvertence,inadvert,inadvert,inadvert
3011,subsistence,subsist,subsist,subsist
3012,insistence,insist,insist,insist
3013,consistence,consist,consist,consist
3014,persistence,persist,persist,persist
3015,consequence,consequ,consequ,consequ
3016,eloquence,eloqu,eloqu,eloqu
3017,niepce,niepc,niepc,niepc
3018,scarce,scarc,scarc,scarc
3019,farce,farc,farc,farc
3020,bierce,bierc,bierc,bierc
3021,fierce,fierc,fierc,fierc
3022,pierce,pierc,pierc,pierc
3023,merce,merc,merc,merc
3024,commerce,commerc,commerc,commerc
3025,coerce,coerc,coerc,coerc
3026,force,forc,forc,forc
3027,enforce,enforc,enforc,enforc
