,index,Original,Porter,Snowball
429,35328,vacuous,vacuou,vacuous
430,35331,arduous,arduou,arduous
431,35336,strenuous,strenuou,strenuous
432,35337,tenuous,tenuou,tenuous
433,35338,sinuous,sinuou,sinuous
434,35342,sensuous,sensuou,sensuous
435,35343,fatuous,fatuou,fatuous
436,35347,sumptuous,sumptuou,sumptuous
437,35350,virtuous,virtuou,virtuous
438,35351,tortuous,tortuou,tortuous
439,35353,vous,vou,vous
440,35355,grievous,grievou,grievous
441,35356,nervous,nervou,nervous
442,35358,yous,you,yous
443,35359,joyous,joyou,joyous
444,35360,oedipus,oedipu,oedipus
445,35361,campus,campu,campus
446,35362,rumpus,rumpu,rumpus
447,35363,opus,opu,opus
448,35364,octopus,octopu,octopus
449,35365,phineoppus,phineoppu,phineoppus
450,35366,corpus,corpu,corpus
451,35367,lazarus,lazaru,lazarus
452,35368,crus,cru,crus
453,35369,andrus,andru,andrus
454,35370,hesperus,hesperu,hesperus
455,35371,nehrus,nehru,nehrus
456,35372,virus,viru,virus
457,35373,walrus,walru,walrus
458,35374,chorus,choru,chorus
459,35375,electrophorus,electrophoru,electrophorus
460,35376,bosphorus,bosphoru,bosphorus
461,35377,phosphorus,phosphoru,phosphorus
462,35378,citrus,citru,citrus
463,35379,thesaurus,thesauru,thesaurus
464,35380,epicurus,epicuru,epicurus
465,35381,cyrus,cyru,cyrus
466,35382,psithyrus,psithyru,psithyrus
467,35383,sus,su,sus
468,35384,caucasus,caucasu,caucasus
469,35385,masus,masu,masus
470,35386,ephesus,ephesu,ephesus
471,35387,jesus,jesu,jesus
472,35388,census,censu,census
473,35389,consensus,consensu,consensus
474,35390,versus,versu,versus
475,35391,transversus,transversu,transversus
476,35392,excursus,excursu,excursus
477,35393,lassus,lassu,lassus
478,35394,colossus,colossu,colossus
479,35395,dionysus,dionysu,dionysus
480,35396,flatus,flatu,flatus
481,35397,apparatus,apparatu,apparatus
482,35398,serratus,serratu,serratus
483,35399,status,statu,status
484,35400,btus,btu,btus
485,35401,intellectus,intellectu,intellectus
486,35402,invictus,invictu,invictus
487,35403,impetus,impetu,impetus
488,35404,tacitus,tacitu,tacitus
489,35405,heraclitus,heraclitu,heraclitus
490,35406,emeritus,emeritu,emeritus
491,35407,situs,situ,situs
492,35408,titus,titu,titus
493,35409,vitus,vitu,vitus
494,35410,bantus,bantu,bantus
495,35411,quintus,quintu,quintus
496,35412,lotus,lotu,lotus
497,35413,eucalyptus,eucalyptu,eucalyptus
498,35414,rastus,rastu,rastus
499,35415,faustus,faustu,faustus
500,35416,augustus,augustu,augustus
501,35417,flavus,flavu,flavus
502,35418,gustavus,gustavu,gustavus
503,35419,festivus,festivu,festivus
504,35420,wus,wu,wus
505,35421,kikiyus,kikiyu,kikiyus
506,35422,washizus,washizu,washizus
507,35450,rdws,rdw,rdws
508,35685,hys,hy,hys
509,35691,skys,ski,skys
510,35786,communitys,commun,communiti
511,38370,papanicolaou,papanicola,papanicolaou
512,39750,publicly,publicli,public
513,39751,cycly,cycli,cyc
514,39752,badly,badli,bad
515,39753,deadly,deadli,dead
516,39754,gladly,gladli,glad
517,39755,madly,madli,mad
518,39756,broadly,broadli,broad
519,39757,sadly,sadli,sad
520,39758,oddly,oddli,odd
521,39759,shamefacedly,shamefacedli,shamefac
522,39760,concededly,concededli,conced
523,39761,decidedly,decidedli,decid
524,39762,lopsidedly,lopsidedli,lopsid
525,39763,handedly,handedli,hand
526,39764,singlehandedly,singlehandedli,singlehand
527,39765,mindedly,mindedli,mind
528,39766,absentmindedly,absentmindedli,absentmind
529,39767,bloodedly,bloodedli,blood
530,39768,allegedly,allegedli,alleg
531,39769,jaggedly,jaggedli,jag
532,39770,doggedly,doggedli,dog
533,39771,ruggedly,ruggedli,rug
534,39772,unqualifiedly,unqualifiedli,unqualifi
535,39773,worriedly,worriedli,worri
536,39774,hurriedly,hurriedli,hurri
537,39775,unhurriedly,unhurriedli,unhurri
538,39776,frenziedly,frenziedli,frenzi
539,39777,nakedly,nakedli,nake
540,39778,wickedly,wickedli,wick
541,39779,markedly,markedli,mark
542,39780,unashamedly,unashamedli,unasham
543,39781,resignedly,resignedli,resign
544,39782,determinedly,determinedli,determin
545,39783,unconcernedly,unconcernedli,unconcern
546,39784,bewilderedly,bewilderedli,bewild
547,39785,tiredly,tiredli,tire
548,39786,humoredly,humoredli,humor
549,39787,assuredly,assuredli,assur
550,39788,advisedly,advisedli,advis
551,39789,supposedly,supposedli,suppos
552,39790,professedly,professedli,profess
553,39791,amusedly,amusedli,amus
554,39792,heatedly,heatedli,heat
555,39793,repeatedly,repeatedli,repeat
556,39794,belatedly,belatedli,belat
557,39795,undoubtedly,undoubtedli,undoubt
558,39796,distractedly,distractedli,distract
559,39797,dejectedly,dejectedli,deject
560,39798,expectedly,expectedli,expect
561,39799,unexpectedly,unexpectedli,unexpect
562,39800,unrestrictedly,unrestrictedli,unrestrict
563,39801,nearsightedly,nearsightedli,nearsight
564,39802,excitedly,excitedli,excit
565,39803,contentedly,contentedli,content
566,39804,pointedly,pointedli,point
567,39805,devotedly,devotedli,devot
568,39806,uninterruptedly,uninterruptedli,uninterrupt
569,39807,heartedly,heartedli,heart
570,39808,wholeheartedly,wholeheartedli,wholeheart
571,39809,reportedly,reportedli,report
572,39810,purportedly,purportedli,purport
573,39811,admittedly,admittedli,admit
574,39812,reputedly,reputedli,reput
575,39813,unreservedly,unreservedli,unreserv
576,39814,idly,idli,idl
577,39815,candidly,candidli,candid
578,39816,splendidly,splendidli,splendid
579,39817,rigidly,rigidli,rigid
580,39818,validly,validli,valid
581,39819,solidly,solidli,solid
582,39820,stolidly,stolidli,stolid
583,39821,timidly,timidli,timid
584,39822,rapidly,rapidli,rapid
585,39823,stupidly,stupidli,stupid
586,39824,avidly,avidli,avid
587,39825,vividly,vividli,vivid
588,39826,mildly,mildli,mild
589,39827,wildly,wildli,wild
590,39828,boldly,boldli,bold
591,39829,coldly,coldli,cold
592,39830,worldly,worldli,world
593,39831,otherworldly,otherworldli,otherworld
594,39832,blandly,blandli,bland
595,39833,grandly,grandli,grand
596,39834,friendly,friendli,friend
597,39835,unfriendly,unfriendli,unfriend
598,39836,kindly,kindli,kind
599,39837,blindly,blindli,blind
600,39838,secondly,secondli,second
601,39839,fondly,fondli,fond
602,39840,profoundly,profoundli,profound
603,39841,roundly,roundli,round
604,39842,soundly,soundli,sound
605,39843,ungodly,ungodli,ungod
606,39844,haggardly,haggardli,haggard
607,39845,hardly,hardli,hard
608,39846,awkwardly,awkwardli,awkward
609,39847,inwardly,inwardli,inward
610,39848,cowardly,cowardli,coward
611,39849,outwardly,outwardli,outward
612,39850,haphazardly,haphazardli,haphazard
613,39851,weirdly,weirdli,weird
614,39852,thirdly,thirdli,third
615,39853,lordly,lordli,lord
616,39854,absurdly,absurdli,absurd
617,39855,loudly,loudli,loud
618,39856,proudly,proudli,proud
619,39857,lewdly,lewdli,lewd
620,39858,shrewdly,shrewdli,shrewd
621,40027,negatively,neg,negat
622,40030,relatively,rel,relat
623,40041,tentatively,tent,tentat
624,40074,scraggly,scraggli,scragg
625,40075,sobbingly,sobbingli,sob
626,40076,numbingly,numbingli,numb
627,40077,disturbingly,disturbingli,disturb
628,40078,convincingly,convincingli,convinc
629,40079,exceedingly,exceedingli,exceed
630,40080,demandingly,demandingli,demand
631,40081,understandingly,understandingli,understand
632,40082,outstandingly,outstandingli,outstand
633,40083,correspondingly,correspondingli,correspond
634,40084,accordingly,accordingli,accord
635,40085,engagingly,engagingli,engag
636,40086,encouragingly,encouragingli,encourag
637,40087,grudgingly,grudgingli,grudg
638,40088,obligingly,obligingli,oblig
639,40089,searchingly,searchingli,search
640,40090,laughingly,laughingli,laugh
641,40091,refreshingly,refreshingli,refresh
642,40092,astonishingly,astonishingli,astonish
643,40093,scathingly,scathingli,scath
644,40094,soothingly,soothingli,sooth
645,40095,painstakingly,painstakingli,painstak
646,40096,rollickingly,rollickingli,rollick
647,40097,shockingly,shockingli,shock
648,40098,mockingly,mockingli,mock
649,40099,seekingly,seekingli,seek
650,40100,strikingly,strikingli,strike
651,40101,unblinkingly,unblinkingli,unblink
652,40102,unfailingly,unfailingli,unfail
653,40103,smilingly,smilingli,smile
654,40104,unsmilingly,unsmilingli,unsmil
655,40105,appallingly,appallingli,appal
656,40106,willingly,willingli,will
657,40107,unwillingly,unwillingli,unwil
658,40108,twirlingly,twirlingli,twirl
659,40109,startlingly,startlingli,startl
660,40110,seemingly,seemingli,seem
661,40111,overwhelmingly,overwhelmingli,overwhelm
662,40112,charmingly,charmingli,charm
663,40113,alarmingly,alarmingli,alarm
664,40114,threateningly,threateningli,threaten
665,40115,frighteningly,frighteningli,frighten
666,40116,uncomplainingly,uncomplainingli,uncomplain
667,40117,shiningly,shiningli,shine
668,40118,cunningly,cunningli,cun
669,40119,stunningly,stunningli,stun
670,40120,questioningly,questioningli,question
671,40121,unquestioningly,unquestioningli,unquest
672,40122,yearningly,yearningli,yearn
673,40123,warningly,warningli,warn
674,40124,frowningly,frowningli,frown
675,40125,sweepingly,sweepingli,sweep
676,40126,gaspingly,gaspingli,gasp
677,40127,glaringly,glaringli,glare
678,40128,bewilderingly,bewilderingli,bewild
679,40129,smolderingly,smolderingli,smolder
680,40130,wonderingly,wonderingli,wonder
681,40131,staggeringly,staggeringli,stagger
682,40132,unfalteringly,unfalteringli,unfalt
683,40133,shatteringly,shatteringli,shatter
684,40134,flatteringly,flatteringli,flatter
685,40135,unwaveringly,unwaveringli,unwav
686,40136,despairingly,despairingli,despair
687,40137,admiringly,admiringli,admir
688,40138,unerringly,unerringli,uner
689,40139,stirringly,stirringli,stir
690,40140,enduringly,enduringli,endur
691,40141,reassuringly,reassuringli,reassur
692,40142,unreassuringly,unreassuringli,unreassur
693,40143,singly,singli,singl
694,40144,unceasingly,unceasingli,unceas
695,40145,pleasingly,pleasingli,pleas
696,40146,increasingly,increasingli,increas
697,40147,appraisingly,appraisingli,apprais
698,40148,enterprisingly,enterprisingli,enterpris
699,40149,surprisingly,surprisingli,surpris
700,40150,embarrassingly,embarrassingli,embarrass
701,40151,depressingly,depressingli,depress
702,40152,accusingly,accusingli,accus
703,40153,amusingly,amusingli,amus
704,40154,humiliatingly,humiliatingli,humili
705,40155,fascinatingly,fascinatingli,fascin
706,40156,exasperatingly,exasperatingli,exasper
707,40157,gratingly,gratingli,grate
708,40158,hesitatingly,hesitatingli,hesit
709,40159,unhesitatingly,unhesitatingli,unhesit
710,40160,devastatingly,devastatingli,devast
711,40161,doubtingly,doubtingli,doubt
712,40162,affectingly,affectingli,affect
713,40163,haltingly,haltingli,halt
714,40164,enchantingly,enchantingli,enchant
715,40165,tauntingly,tauntingli,taunt
716,40166,temptingly,temptingli,tempt
717,40167,disconcertingly,disconcertingli,disconcert
718,40168,everlastingly,everlastingli,everlast
719,40169,interestingly,interestingli,interest
720,40170,exhaustingly,exhaustingli,exhaust
721,40171,trustingly,trustingli,trust
722,40172,wittingly,wittingli,wit
723,40173,unwittingly,unwittingli,unwit
724,40174,intriguingly,intriguingli,intrigu
725,40175,lovingly,lovingli,love
726,40176,movingly,movingli,move
727,40177,reprovingly,reprovingli,reprov
728,40178,approvingly,approvingli,approv
729,40179,disapprovingly,disapprovingli,disapprov
730,40180,knowingly,knowingli,know
731,40181,unknowingly,unknowingli,unknow
732,40182,horrifyingly,horrifyingli,horrifi
733,40183,gratifyingly,gratifyingli,gratifi
734,40184,pityingly,pityingli,piti
735,40185,amazingly,amazingli,amaz
736,40186,tantalizingly,tantalizingli,tantal
737,40187,strongly,strongli,strong
738,40188,wrongly,wrongli,wrong
739,40190,plugugly,plugugli,plugug
740,40191,snugly,snugli,snug
741,40192,richly,richli,rich
742,40193,churchly,churchli,church
743,40194,highly,highli,high
744,40195,roughly,roughli,rough
745,40196,thoroughly,thoroughli,thorough
746,40197,pohly,pohli,poh
747,40198,freshly,freshli,fresh
748,40199,snobbishly,snobbishli,snobbish
749,40200,childishly,childishli,childish
750,40201,unselfishly,unselfishli,unselfish
751,40202,wolfishly,wolfishli,wolfish
752,40203,sluggishly,sluggishli,sluggish
753,40204,rakishly,rakishli,rakish
754,40205,foolishly,foolishli,foolish
755,40206,girlishly,girlishli,girlish
756,40207,waspishly,waspishli,waspish
757,40208,feverishly,feverishli,feverish
758,40209,lavishly,lavishli,lavish
759,40210,harshly,harshli,harsh
760,40211,deathly,deathli,death
761,40212,monthly,monthli,month
762,40213,bimonthly,bimonthli,bimonth
763,40214,smoothly,smoothli,smooth
764,40215,earthly,earthli,earth
765,40294,bleakly,bleakli,bleak
766,40295,weakly,weakli,weak
767,40296,cackly,cackli,cack
768,40297,thickly,thickli,thick
769,40298,prickly,prickli,prick
770,40299,sickly,sickli,sick
771,40300,quickly,quickli,quick
772,40301,meekly,meekli,meek
773,40302,weekly,weekli,week
